Set temp 30 degree;
Measured 24.5 degree;
Waited for long time while capturing the previous logs. No stimulus applied at that time;
Started getting logs and then applied stimulus just after that;
Temprature went as high as upto 50 and machine gave error message as The heater is too hot.


PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:40:38.160 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.181 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.184 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.200 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.221 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.225 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.240 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.261 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.265 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.280 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.300 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.305 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.320 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.341 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.344 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.360 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.381 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.384 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.400 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.435 V: [rs485]: Received: 10 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:38.439 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.443 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.460 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
